Num hidden layers,Layer-wise Update Enabled,Layer-wise Update Disabled,,,,Disabled 600 ms
5,329.936,330.461333,,,,
6,387.568,388.976889,,,,
7,436.875556,443.120889,,,,
8,491.615111,496.223111,,,,
9,544.370667,551.279111,,,,
10,598.476444,608.109333,,,,
11,644.470222,657.003556,,,,
12,698.224889,714.231111,,,,
13,750.176889,769.840889,,,,
14,801.533333,825.272889,,,,
15,844.824889,879.795556,,,,
16,897.961778,930.801778,,,,
17,951.643556,990.076444,,,,
18,1000.192889,1044.477333,,,,
19,1040.379556,1094.823111,,,,
20,1093.446222,1150.450667,,,,
21,1145.92,1209.622222,,,,
22,1190.205333,1261.584889,,,,
23,1226.440889,1304.916444,,,,
24,1284.375111,1372.298667,,,,
25,1367.919111,1466.996444,,,,
26,1472.732444,1590.729778,,,,
27,1467.791111,1585.806222,,,,
28,1516.413333,1651.127111,,,,
29,1525.185778,1661.916444,,,,
30,1638.035556,1792.822222,,,,
31,1659.952,1824.035556,,,,
32,1674.016,1848.672,,,,
33,1697.145778,1881.146667,,,,
34,1714.358222,1906.629333,,,,
35,1757.211556,1978.315556,,,,
36,1805.974222,2029.346667,,,,
37,1847.675556,2085.610667,,,,
38,1871.522667,2122.479111,,,,
39,1930.354667,2199.810667,,,,
40,1957.077333,2240.667556,,,,
41,2000.106667,2300.096,,,,
42,2027.107556,2343.443556,,,,
43,2080.833778,2416.537778,,,,
44,2115.416,2469.252444,,,,
45,2148.198222,2522.406222,,,,
46,2171.167111,2558.469333,,,,
47,2214.24,2613.221333,,,,
48,2257.639111,2678.523556,,,,
49,2292.973333,2731.667556,,,,
50,2313.179556,2784.899556,,,,
51,2333.469333,2852.120889,,,,
52,2385.707556,2898.276444,,,,
53,2407.743111,2940.669333,,,,
54,2445.558222,3003.248,,,,
55,2486.039111,3070.044444,,,,
56,2502.596444,3104.892444,,,,
57,2546.237333,3176.844444,,,,
58,2577.801778,3231.238222,,,,
59,2599.875556,3274.912889,,,,
60,2620.557333,3315.232,,,,
61,2640.928,3378.671111,,,,
62,2695.456,3444.151111,,,,
63,2724.683556,3495.993778,,,,
64,2744.113778,3539.017778,,,,
65,2773.944,3590.234667,,,,
66,2825.96,3674.575111,,,,
67,2973.878222,3882.874667,,,,
68,3160.199111,4141.764444,,,,
69,3199.906667,4211.472,,,,
70,3031.010667,4004.564444,,,,
71,3068.074667,4067.717333,,,,
72,3138.276444,4176.463111,,,,
73,3364.920889,4494.313778,,,,
74,3202.236444,4293.355556,,,,
75,3207.112889,4312.966222,,,,
76,3104.127111,4189.599111,,,,
77,3130.950222,4238.094222,,,,
78,3181.28,4319.564444,,,,
79,3207,4368.418667,,,,
80,3223.868444,4407.198222,,,,
81,3258.312889,4485.448,,,,
82,3305.293333,4542.510222,,,,
83,3327.821333,4586.884444,,,,
84,3343.500444,4623.351111,,,,
85,3372.028444,4685.563556,,,,
86,3432.115556,4769.295111,,,,
87,3449.046222,4806.365333,,,,
88,3462.904889,4839.814222,,,,
89,3495.429333,4895.834667,,,,
90,3546.706667,4979.936889,,,,
91,3570.169778,5024.643556,,,,
92,3584.367111,5058.446222,,,,
93,3612.529778,5109.313778,,,,
94,3663.421333,5191.859556,,,,
95,3689.545778,5241.333333,,,,
96,3703.871111,5275.96,,,,
97,3736.195556,5330.622222,,,,
98,3787.085333,5414.032,,,,
99,3809.747556,5458.715556,,,,
100,3823.742222,5492.430222,,,,
