Num hidden layers,Layer-wise Update Enabled,Layer-wise Update Disabled,WFE
5,92.65214062,92.80585998,89.1
6,92.81937453,93.06363646,89.1
7,92.92108856,93.25079055,89.1
8,93.06903357,93.29307689,89.1
9,93.155128,93.27874787,89.1
10,93.33140955,93.61028132,89.1
11,93.53399304,93.7644675,89.1
12,93.75475743,93.947733,89.1
13,93.89923494,94.08163337,89.1
14,93.98198288,94.25295,89.1
15,93.41062781,94.44323661,89.1
16,93.49520469,94.65398178,89.1
17,93.65505038,94.835862,89.1
18,93.83632219,94.94181926,89.1
19,93.91930596,94.98965563,89.1
20,94.0999015,95.21221337,89.1
21,94.30024953,95.3833485,89.1
22,94.23750369,95.34220539,89.1
23,94.42299128,95.90506411,89.1
24,94.64482156,96.11812194,89.1
25,95.06081247,96.42326381,89.1
26,95.37715957,96.69031666,89.1
27,95.33205,96.77520256,89.1
28,95.24653696,96.58325413,89.1
29,95.29183304,96.6360328,89.1
30,95.55718389,96.99115083,89.1
31,95.85840143,97.15651239,89.1
32,95.68468585,97.07554617,89.1
33,96.03543096,97.18330155,89.1
34,95.99130607,97.41802878,89.1
35,96.12488863,97.655712,89.1
36,96.0720212,97.60855643,89.1
37,96.19386078,97.81040954,89.1
38,96.23880645,97.84238941,89.1
39,96.48095834,98.10147815,89.1
40,96.84602962,98.26444004,89.1
41,96.63511398,98.48597335,89.1
42,96.51394572,98.42891778,89.1
43,96.88010798,98.79598347,89.1
44,96.95852243,98.98070074,89.1
45,97.41302853,99.04818962,89.1
46,97.66790936,99.35687604,89.1
47,97.77324287,99.47651228,89.1
48,98.14339906,99.66686615,89.1
49,98.25469781,99.85236776,89.1
50,98.18890774,99.9545514,89.1
51,98.21223664,100.0469645,89.1
52,98.2811775,100.1112937,89.1
53,98.27155869,100.2268116,89.1
54,98.52954638,100.3259493,89.1
55,98.62234519,100.3255707,89.1
56,98.67567737,100.3867454,89.1
57,98.77923702,100.7425478,89.1
58,98.76104911,100.8599159,89.1
59,98.8139735,100.9263714,89.1
60,98.94457194,101.1418643,89.1
61,99.079178,101.2207393,89.1
62,99.24741887,101.4563023,89.1
63,99.31325636,101.295589,89.1
64,99.58168481,101.2937726,89.1
65,99.23948169,101.3317477,89.1
66,99.26560737,101.4570595,89.1
67,100.1918217,102.1445973,89.1
68,100.5058629,102.7470646,89.1
69,100.5889296,103.0405544,89.1
70,99.90173483,102.5595823,89.1
71,99.93994743,102.5279999,89.1
72,100.1408577,102.9293193,89.1
73,100.8505965,103.4555231,89.1
74,100.7882989,102.9286084,89.1
75,100.6880868,103.0928566,89.1
76,100.2022491,102.7301016,89.1
77,100.6039664,102.9744169,89.1
78,100.3693818,103.0657004,89.1
79,99.34148615,103.1839015,89.1
80,99.7942506,103.2884743,89.1
81,100.3699928,103.4062632,89.1
82,100.3566117,103.6195057,89.1
83,100.3003679,103.6077886,89.1
84,100.5367519,103.9518853,89.1
85,100.537861,104.0584165,89.1
86,100.5909092,104.2211015,89.1
87,100.9251161,104.2777625,89.1
88,100.6764079,104.3907337,89.1
89,100.6799697,104.4865391,89.1
90,100.5807818,104.7530514,89.1
91,100.9239861,104.7421334,89.1
92,101.314356,104.8751155,89.1
93,101.3599003,104.933494,89.1
94,101.3086312,105.6964759,89.1
95,101.5682229,105.796324,89.1
96,101.771722,105.816371,89.1
97,101.4808058,105.9621477,89.1
98,101.7602728,105.9480883,89.1
99,101.7923237,106.2323022,89.1
100,101.8221119,106.2263429,89.1
