Num hidden layers,Layer Wise Update Disabled,Layer Wise Update Enabled
5,6,5.990222
6,7,6.974222
7,8,7.945778
8,9,8.912
9,10,9.870222
10,11,10.820444
11,12,11.764444
12,13,12.704
13,14,13.634667
14,15,14.560889
15,16,15.478222
16,17,16.391111
17,18,17.291555
18,19,18.186666
19,20,19.070222
20,21,19.949333
21,22,20.819555
22,23,21.685333
23,24,22.542222
24,25,23.391111
25,26,24.231111
26,27,25.063111
27,28,25.886222
28,29,26.700444
29,30,27.505777
30,31,28.302221
31,32,29.089777
32,33,29.868444
33,34,30.638222
34,35,31.399111
35,36,32.151111
36,37,32.894222
37,38,33.628444
38,39,34.353777
39,40,35.070221
40,41,35.777777
41,42,36.476444
42,43,37.166222
43,44,37.847111
44,45,38.519111
45,46,39.182222
46,47,39.836444
47,48,40.481777
48,49,41.118221
49,50,41.745777
50,51,42.364444
51,52,42.974222
52,53,43.575111
53,54,44.167111
54,55,44.751111
55,56,45.328
56,57,45.896889
57,58,46.462222
58,59,47.022222
59,60,47.581333
60,61,48.138666
61,62,48.695999
62,63,49.251555
63,64,49.807111
64,65,50.360889
65,66,50.914667
66,67,51.467556
67,68,52.020445
68,69,52.573334
69,70,53.126223
70,71,53.679112
71,72,54.232001
72,73,54.78489
73,74,55.337779
74,75,55.890668
75,76,56.443557
76,77,56.996446
77,78,57.549335
78,79,58.102224
79,80,58.655113
80,81,59.208002
81,82,59.760891
82,83,60.31378
83,84,60.866669
84,85,61.419558
85,86,61.972447
86,87,62.525336
87,88,63.078225
88,89,63.631114
89,90,64.184003
90,91,64.736892
91,92,65.289781
92,93,65.84267
93,94,66.395559
94,95,66.948448
95,96,67.501337
96,97,68.054226
97,98,68.607115
98,99,69.160004
99,100,69.712893
100,101,70.265782
