Num hidden layers,Layer-wise Update Enabled,Layer-wise Update Disabled
5,332.044444,332.451556
6,385.284444,386.605333
7,438.619556,441.394667
8,491.418667,496.711111
9,544.767111,551.564444
10,592.758222,603.933333
11,644.672889,657.136889
12,695.613333,711.448889
13,748.626667,768.134222
14,795.173333,818.509333
15,850.707556,878.721778
16,893.492444,925.770667
17,948.964444,987.135111
18,991.479111,1034.714667
19,1043.291556,1093.107556
20,1086.933333,1142.872
21,1138.847111,1202.224889
22,1186.733333,1257.462222
23,1231.144889,1309.616889
24,1274.875556,1360.064889
25,1364.657778,1462.792889
26,1478.882667,1591.352889
27,1491.768,1613.876444
28,1487.100444,1614.064
29,1529.227556,1670.377778
30,1655.048,1812.125333
31,1636.467556,1798.648889
32,1693.157333,1869.44
33,1687.791111,1878.936889
34,1722.472,1918.067556
35,1759.757333,1969.108444
36,1794.620444,2016.608889
37,1840.684444,2079.032889
38,1886.792,2140.732444
39,1920.200889,2188.328
40,1952.783111,2235.433778
41,1993.013333,2293.798222
42,2037.714667,2358.787556
43,2070.766222,2404.492444
44,2099.086222,2448.834667
45,2139.018667,2509.192
46,2189.703111,2580.902222
47,2215.659556,2624.320889
48,2239.971556,2665.725333
49,2275.928,2722.610667
50,2323.480889,2794.286222
51,2345.967111,2834.534222
52,2394.098667,2910.273778
53,2419.32,2955.514667
54,2457.015111,3009.260444
55,2486.152,3069.027556
56,2502.468444,3103.683556
57,2529.518222,3154.526222
58,2583.476444,3224.810667
59,2611.796444,3290.651556
60,2621.981333,3317.327111
61,2656.421333,3381.599111
62,2692.997333,3441.696
63,2712.571556,3482.182222
64,2742.928,3545.520889
65,2792.460444,3618.381333
66,2813.739556,3657.647111
67,2944.443556,3844.174222
68,2989.559111,3919.263111
69,3149.064,4139.100444
70,2963.873778,3916.003556
71,3037.318222,4010.898667
72,3166.350222,4210.522667
73,3348.949333,4473.940444
74,3207.772444,4290.728
75,3201.147556,4298.709333
76,3106.08,4192.410667
77,3152.480889,4272.872
78,3183.770667,4326.450667
79,3192.581333,4348.171556
80,3223.800889,4405.687111
81,3276.811556,4494.449778
82,3297.771556,4533.442667
83,3313.824889,4569.107556
84,3340.061333,4617.962667
85,3399.410667,4716.515556
86,3416.909333,4763.037333
87,3433.059556,4786.793778
88,3467.083556,4850.08
89,3517.903111,4931.865778
90,3538.601778,4969.206222
91,3553.041778,5000.584
92,3581.368889,5075.494222
93,3642.136,5137.851556
94,3659.648,5200.153778
95,3672.489778,5219.069333
96,3703.896889,5274.718222
97,3761.127111,5391.550222
98,3778.791111,5403.900444
99,3793.829333,5437.360889
100,3818.905778,5485.192
