Num hidden layers,Layer Wise Update Enabled,Layer Wise Update Disabled
5,5.983146321,6
6,6.957554288,7
7,7.904246195,8
8,8.818960742,9
9,9.695460345,10
10,10.52832955,11
11,11.31455808,12
12,12.05326381,13
13,12.74075286,14
14,13.37752034,15
15,13.96164817,16
16,14.49489203,17
17,14.97504827,18
18,15.4048414,19
19,15.7845877,20
20,16.11842685,21
21,16.40894102,22
22,16.6604618,23
23,16.87598719,24
24,17.05894432,25
25,17.21262831,26
26,17.34049339,27
27,17.44574055,28
28,17.5314351,29
29,17.60044774,30
30,17.65541245,31
31,17.69870024,32
32,17.73240701,33
33,17.75835374,34
34,17.77809632,35
35,17.79294275,36
36,17.80397528,37
37,17.81207562,38
38,17.81795106,39
39,17.82216048,40
40,17.82513888,41
41,17.82721979,42
42,17.82865516,43
43,17.82963249,44
44,17.83028925,45
45,17.83072476,46
46,17.83100967,47
47,17.83119354,48
48,17.83131056,49
49,17.831384,50
50,17.83142943,51
51,17.83145714,52
52,17.83147378,53
53,17.83148364,54
54,17.83148939,55
55,17.83149271,56
56,17.8314946,57
57,17.83149567,58
58,17.83149627,59
59,17.8314966,60
60,17.83149679,61
61,17.83149689,62
62,17.83149695,63
63,17.83149698,64
64,17.831497,65
65,17.83149701,66
66,17.83149702,67
67,17.83149702,68
68,17.83149702,69
69,17.83149702,70
70,17.83149702,71
71,17.83149702,72
72,17.83149702,73
73,17.83149702,74
74,17.83149702,75
75,17.83149702,76
76,17.83149702,77
77,17.83149702,78
78,17.83149702,79
79,17.83149702,80
80,17.83149702,81
81,17.83149702,82
82,17.83149702,83
83,17.83149702,84
84,17.83149702,85
85,17.83149702,86
86,17.83149702,87
87,17.83149702,88
88,17.83149702,89
89,17.83149702,90
90,17.83149702,91
91,17.83149702,92
92,17.83149702,93
93,17.83149702,94
94,17.83149702,95
95,17.83149702,96
96,17.83149702,97
97,17.83149702,98
98,17.83149702,99
99,17.83149702,100
100,17.83149702,101
